Data,IPEDS ID,Year,Unduplicated Athletes,Total Athletic Spending,Athletic Spending per Athlete,Total Institutional Funding for Athletics,Institutional Funding for Athletics per Athlete,Total Coaching Salaries,Coaching Salaries per Athlete,Football Players,Total Football Spending,Football Spending per Football Player,Total Football Coaching Salaries,Football Coaching Salaries per Football Player
Alabama A & M University,100654,2005,303,"$4,370,215 ","$14,423 ","$735,888 ","$2,429 ","$1,060,948 ","$3,501 ",94,"$1,449,620 ","$15,421 ","$418,314 ","$4,450 "
Alabama A & M University,100654,2006,281,"$7,811,439 ","$27,799 ","$8,235,742 ","$29,309 ","$1,483,077 ","$5,278 ",76,"$1,697,310 ","$22,333 ","$624,108 ","$8,212 "
Alabama A & M University,100654,2007,278,"$5,355,699 ","$19,265 ","$5,366,192 ","$19,303 ","$1,795,298 ","$6,458 ",96,"$1,760,048 ","$18,334 ","$748,500 ","$7,797 "
Alabama A & M University,100654,2008,285,"$6,368,280 ","$22,345 ","$5,705,289 ","$20,019 ","$1,683,784 ","$5,908 ",100,"$2,175,301 ","$21,753 ","$778,500 ","$7,785 "
Alabama A & M University,100654,2009,281,"$6,641,301 ","$23,635 ","$6,848,160 ","$24,371 ","$1,683,784 ","$5,992 ",99,"$2,092,581 ","$21,137 ","$778,500 ","$7,864 "
Alabama A & M University,100654,2010,239,"$6,560,208 ","$27,449 ","$4,435,234 ","$18,557 ","$1,478,326 ","$6,185 ",79,"$2,088,619 ","$26,438 ","$695,891 ","$8,809 "
Alabama A & M University,100654,2011,247,"$6,980,583 ","$28,261 ","$4,513,325 ","$18,273 ","$1,421,107 ","$5,753 ",85,"$2,076,195 ","$24,426 ","$551,499 ","$6,488 "
Alabama A & M University,100654,2012,258,"$6,604,394 ","$25,598 ","$3,742,114 ","$14,504 ","$1,297,928 ","$5,031 ",79,"$2,410,985 ","$30,519 ","$642,010 ","$8,127 "
Alabama A & M University,100654,2013,158,"$7,349,658 ","$46,517 ","$5,396,160 ","$34,153 ","$1,420,292 ","$8,989 ",82,"$2,259,042 ","$27,549 ","$679,102 ","$8,282 "
Alabama A & M University,100654,2014,266,"$7,240,911 ","$27,221 ","$7,342,671 ","$27,604 ","$1,741,426 ","$6,547 ",90,"$2,655,149 ","$29,502 ","$852,599 ","$9,473 "
Alabama State University,100724,2005,250,"$5,622,494 ","$22,490 ","$4,117,066 ","$16,468 ","$1,450,932 ","$5,804 ",85,"$1,806,276 ","$21,250 ","$593,148 ","$6,978 "
