Institution,usnews2016
Princeton University,1
Harvard University,2
University of Chicago,3
Yale University,4
Columbia University,5
Stanford University,6
Massachusetts Institute of Technology,7
Duke University,8
University of Pennsylvania,9
Johns Hopkins University,10
Dartmouth College,11
California Institute of Technology,12
Northwestern University,13
Brown University,14
Cornell University,15
Rice University,16
University of Notre Dame,17
Vanderbilt University,18
Washington University in St. Louis,19
Emory University,20
Georgetown University,21
University of California-Berkeley,22
University of Southern California,23
Carnegie Mellon University,24
University of California-Los Angeles,25
University of Virginia,26
Tufts University,27
University of Michigan,28
Wake Forest University,29
University of North Carolina at Chapel Hill,30
Boston College,31
College of William & Mary,32
University of Rochester,33
Brandeis University,34
Georgia Institute of Technology,35
New York University,36
Case Western Reserve University,37
University of California-Santa Barbara,38
Boston University,39
Northeastern University,40
Rensselaer Polytechnic Institute,41
Tulane University,42
University of California-Irvine,43
Lehigh University,44
University of California-Davis,45
University of California-San Diego,46
University of Illinois-Urbana-Champaign,47
University of Miami,48
University of Wisconsin-Madison,49
Pennsylvania State University-University Park,50
Pepperdine University,51
University of Florida,52
Villanova University,53
The Ohio State University,54
University of Washington,55
George Washington University,56
Southern Methodist University,57
University of Georgia,58
The University of Texas at Austin,59
Fordham University,60
Purdue University-West Lafayette,61
Syracuse University,62
University of Connecticut,63
University of Maryland-College Park,64
Worcester Polytechnic Institute,65
Clemson University,66
Yeshiva University,67
Brigham Young University-Provo,68
University of Pittsburgh,69
Rutgers University-New Brunswick,70
Baylor University,71
Stevens Institute of Technology,72
University of Minnesota-Twin Cities,73
American University,74
Clark University,75
Texas A&M University-College Station,76
University of Massachusetts-Amherst,77
Virginia Tech,78
Miami University-Oxford,79
University of California-Santa Cruz,80
University of Delaware,81
Colorado School of Mines,82
Michigan State University,83
Texas Christian University,84
University of Iowa,85
Binghamton University-SUNY,86
Indiana University-Bloomington,87
Marquette University,88
University of Denver,89
University of San Diego,90
University of Tulsa,91
Florida State University,92
North Carolina State University-Raleigh,93
University of Colorado-Boulder,94
University of Vermont,95
Drexel University,96
Saint Louis University,97
Stony Brook University-SUNY,98
Auburn University,99
Loyola University Chicago,100
SUNY College of Environmental Science and Forestry,101
University at Buffalo-SUNY,102
Illinois Institute of Technology,103
University of Alabama,104
University of Oregon,105
Rochester Institute of Technology,106
University of New Hampshire,107
University of San Francisco,108
University of South Carolina,109
Iowa State University,110
University of Dayton,111
University of Missouri,112
University of Nebraska-Lincoln,113
University of Oklahoma,114
University of the Pacific,115
University of Utah,116
Michigan Technological University,117
Seton Hall University,118
Temple University,119
University of California-Riverside,120
University of Kansas,121
University of St. Thomas,122
The Catholic University of America,123
DePaul University,124
Duquesne University,125
Howard University,126
University of Arizona,127
Arizona State University-Tempe,128
Clarkson University,129
Colorado State University,130
New School,131
Hofstra University,132
University of Kentucky,133
Kansas State University,134
Louisiana State University-Baton Rouge,135
Mercer University,136
New Jersey Institute of Technology,137
Rutgers University-Newark,138
University of Arkansas,139
University of Cincinnati,140
University of Mississippi,141
George Mason University,142
Oregon State University,143
Washington State University,144
Adelphi University,145
Ohio University,146
San Diego State University,147
St. John Fisher College,148
University at Albany-SUNY,149
University of Texas-Dallas,150
Illinois State University,151
Immaculata University,152
Oklahoma State University,153
University of California-Merced,154
University of Illinois-Chicago,155
University of La Verne,156
University of Massachusetts-Lowell,157
Seattle Pacific University,158
University of Alabama-Birmingham,159
University of Maryland-Baltimore County,160
University of Rhode Island,161
University of South Florida,162
Biola University,163
Maryville University of St. Louis,164
Missouri University of Science & Technology,165
St. John's University,166
Virginia Commonwealth University,167
Union University,168
University of Hawaii-Manoa,169
Edgewood College,170
Florida Institute of Technology,171
University of Idaho,172
University of Louisville,173
University of Wyoming,174
Ball State University,175
Lipscomb University,176
Mississippi State University,177
Montclair State University,178
Texas Tech University,179
University of Central Florida,180
University of New Mexico,181
Andrews University,182
Azusa Pacific University,183
University of Maine,184
West Virginia University,185
Widener University,186
Kent State University,187
North Dakota State University,188
Pace University,189
Robert Morris University,190
Suffolk University,191
University of Hartford,192
Bowling Green State University,193
University of Houston,194
Western Michigan University,195
"Kalamazoo, MI",196
Indiana University-Purdue University-Indianapolis,197
Lesley University,198
University of Alabama-Huntsville,199
University of Colorado-Denver,200
